date,no2,month,dayofmonth,dayofweek
29/1/2013,72.10442643,1,29,1
29/1/2013,61.930415,1,29,1
29/1/2013,48.56940923,1,29,1
29/1/2013,44.9818,1,29,1
29/1/2013,46.12243846,1,29,1
29/1/2013,35.5069975,1,29,1
29/1/2013,40.06660214,1,29,1
29/1/2013,40.23059929,1,29,1
29/1/2013,42.98227714,1,29,1
29/1/2013,40.79318071,1,29,1
29/1/2013,37.574,1,29,1
29/1/2013,31.46602071,1,29,1
29/1/2013,25.73941429,1,29,1
29/1/2013,23.30463286,1,29,1
29/1/2013,23.74273143,1,29,1
29/1/2013,18.47232385,1,29,1
30/1/2013,15.30009846,1,30,2
30/1/2013,12.97432071,1,30,2
30/1/2013,11.32346857,1,30,2
30/1/2013,12.40102571,1,30,2
30/1/2013,25.51135071,1,30,2
30/1/2013,36.48798286,1,30,2
30/1/2013,51.73988714,1,30,2
30/1/2013,59.384695,1,30,2
30/1/2013,59.25573929,1,30,2
30/1/2013,53.19546,1,30,2
30/1/2013,44.83190692,1,30,2
30/1/2013,28.31926333,1,30,2
30/1/2013,27.95436091,1,30,2
30/1/2013,25.40954923,1,30,2
30/1/2013,24.78281333,1,30,2
30/1/2013,27.9629025,1,30,2
30/1/2013,30.08123385,1,30,2
30/1/2013,31.51855154,1,30,2
30/1/2013,31.54639385,1,30,2
30/1/2013,30.39845154,1,30,2
30/1/2013,29.67438769,1,30,2
30/1/2013,31.08823923,1,30,2
30/1/2013,26.93454769,1,30,2
30/1/2013,21.88164846,1,30,2
31/1/2013,18.14781917,1,31,3
31/1/2013,15.37896308,1,31,3
31/1/2013,12.54122,1,31,3
31/1/2013,12.46265846,1,31,3
31/1/2013,12.81397154,1,31,3
31/1/2013,14.43959615,1,31,3
31/1/2013,21.32941538,1,31,3
31/1/2013,36.92092385,1,31,3
31/1/2013,45.60793923,1,31,3
31/1/2013,40.44895769,1,31,3
31/1/2013,37.6945775,1,31,3
31/1/2013,29.93792636,1,31,3
31/1/2013,32.03357833,1,31,3
31/1/2013,39.66066833,1,31,3
